symbol,name,close,yest_close,b1_p,b1_v,volume
430090,同辉信息,10.03,8.15,10.03,168,228224
300094,国联水产,5.44,4.53,5.44,105411,2141505
300519,新光药业,24.23,20.19,24.23,29130,165300
300556,丝路视觉,35.27,29.39,35.27,32580,140168
300585,奥联电子,16.87,14.06,16.87,5209,198557
300479,神思电子,19.4,16.17,19.4,33502,147081
830946,森萱医药,21.08,17.6,21.08,439,195159
300039,上海凯宝,7.2,6.16,7.2,4883,1743289
688039,当虹科技,89.65,76.82,89.65,233,65813
300058,蓝色光标,12.51,10.73,12.51,2501,4525309
688655,迅捷兴,21.0,18.28,20.95,52,72896
300788,中信出版,33.96,29.62,33.95,97,104896
688088,虹软科技,50.26,44.06,50.19,5,115550
300181,佐力药业,13.26,11.66,13.25,191,1726604
300984,金沃股份,70.05,61.65,70.03,1,19586
300818,耐普矿机,56.0,49.4,56.0,78,131088
688260,昀冢科技,18.86,16.66,18.86,68,53360
300867,圣元环保,31.2,27.57,31.2,902,267218
832171,志晟信息,18.97,16.99,18.92,118,31874
300624,万兴科技,61.45,55.11,61.41,15,158398
300147,香雪制药,8.98,8.07,8.97,2808,1214914
301073,君亭酒店,38.14,34.32,38.1,2,17389
300248,新开普,16.72,15.12,16.72,743,1293294
300213,佳讯飞鸿,9.8,8.87,9.79,2472,1561863
300279,和晶科技,8.11,7.35,8.1,1223,656203
603176,汇通集团,2.7,2.45,2.7,2505251,3465
300962,中金辐照,21.85,19.83,21.84,68,115307
688159,有方科技,34.81,31.6,34.8,65,67434
000552,靖远煤电,3.8,3.45,3.8,18996,2333849
000558,莱茵体育,4.24,3.85,4.24,75634,901217
688628,优利德,32.25,29.29,32.25,483,39922
002721,金一文化,3.6,3.27,3.6,92273,357244
002210,飞马国际,3.71,3.37,3.71,126026,762071
603616,韩建河山,6.66,6.05,6.66,21380,88564
002412,汉森制药,6.99,6.35,6.99,48398,227935
600257,大湖股份,8.09,7.35,8.09,22180,889720
603123,翠微股份,8.97,8.15,8.97,43044,269588
002689,远大智能,3.61,3.28,3.61,78983,285468
600213,亚星客车,9.08,8.25,9.08,8983,124768
600996,贵广网络,6.13,5.57,6.13,100179,387091
000530,冰山冷热,6.24,5.67,6.24,155913,75841
000810,创维数字,10.84,9.85,10.84,24150,462080
000665,湖北广电,6.9,6.27,6.9,141841,905790
000848,承德露露,11.94,10.85,11.94,17035,598055
002694,顾地科技,4.93,4.48,4.93,100258,152598
600479,千金药业,13.81,12.55,13.81,756,437457
600283,钱江水利,13.92,12.65,13.92,17444,99501
600313,农发种业,5.81,5.28,5.81,92259,818298
603536,惠发食品,11.84,10.76,11.84,40178,92394
000989,九 芝 堂,11.95,10.86,11.94,4892,353485
600116,三峡水利,12.83,11.66,12.82,948,1022582
600769,祥龙电业,6.91,6.28,6.91,23185,117170
603058,永吉股份,10.64,9.67,10.64,7629,387310
002907,华森制药,19.86,18.05,19.86,19068,126364
002723,金莱特,16.24,14.76,16.24,25058,63701
000629,攀钢钒钛,4.28,3.89,4.28,59849,4227053
002168,惠程科技,4.72,4.29,4.72,90602,277857
002347,泰尔股份,5.6,5.09,5.6,77578,217353
603189,网达软件,22.62,20.56,22.62,19940,92327
600129,太极集团,24.71,22.46,24.71,46728,207060
002349,精华制药,12.41,11.28,12.41,162500,137510
600847,万里股份,18.78,17.07,18.78,3744,165178
000953,河化股份,6.48,5.89,6.48,66118,101550
605259,绿田机械,36.69,33.35,36.69,3564,21526
603777,来伊份,16.48,14.98,16.48,11553,360208
002858,力盛赛车,16.81,15.28,16.81,18923,54891
002921,联诚精密,18.79,17.08,18.79,17698,55874
002840,华统股份,19.01,17.28,19.01,6196,206901
600668,尖峰集团,20.11,18.28,20.11,85727,238849
002105,信隆健康,10.99,9.99,10.99,16101,203947
600085,同仁堂,49.48,44.98,49.48,45477,193195
600976,健民集团,86.78,78.89,86.78,39,112909
605567,春雪食品,23.43,21.3,23.43,63960,204560
605108,同庆楼,20.13,18.3,20.13,4478,111406
603477,巨星农牧,17.05,15.5,17.05,5298,237016
603363,傲农生物,13.97,12.7,13.97,1636,346770
600992,贵绳股份,10.89,9.9,10.89,39190,244698
300312,*ST邦讯,3.08,2.8,3.07,1688,259421
002873,新天药业,22.22,20.2,22.22,11783,93882
002584,西陇科学,11.66,10.6,11.66,65231,961996
002374,中锐股份,11.99,10.9,11.99,118274,1710747
002107,沃华医药,8.14,7.4,8.14,125176,57458
000681,视觉中国,26.29,23.9,26.29,16047,547267
002987,京北方,34.56,31.42,34.55,215,187089
605116,奥锐特,24.22,22.02,24.22,11115,20966
002246,北化股份,11.23,10.21,11.23,10812,1132380
605069,正和生态,21.14,19.22,21.14,47592,29620
600633,浙数文化,9.69,8.81,9.69,5169,909486
000999,华润三九,37.66,34.24,37.66,35901,167220
600272,开开实业,9.03,8.21,9.03,64403,10796
600463,空港股份,8.92,8.11,8.92,8054,170977
002443,金洲管道,8.7,7.91,8.7,994,564278
603336,宏辉果蔬,8.59,7.81,8.59,52159,283140
002788,鹭燕医药,8.59,7.81,8.59,32055,84944
600880,博瑞传播,8.26,7.51,8.26,157338,799334
600128,弘业股份,8.15,7.41,8.15,45842,142003
002803,吉宏股份,23.35,21.23,23.35,28890,239595
002565,顺灏股份,7.49,6.81,7.49,1696,1920804
000819,岳阳兴长,20.27,18.43,20.27,3217,312008
002059,云南旅游,6.61,6.01,6.61,46090,270179
002750,龙津药业,17.74,16.13,17.74,37317,536114
603368,柳药股份,20.94,19.04,20.94,18115,371159
002083,孚日股份,5.07,4.61,5.07,24067,710771
002494,华斯股份,4.85,4.41,4.85,66405,175810
000719,中原传媒,8.27,7.52,8.27,27463,169124
002177,御银股份,7.28,6.62,7.28,114452,952702
000506,中润资源,3.53,3.21,3.53,63563,394600
000597,东北制药,6.84,6.22,6.84,87118,359204
002951,金时科技,12.91,11.74,12.91,29043,184964
000056,皇庭国际,6.29,5.72,6.29,62184,754387
600077,宋都股份,2.98,2.71,2.98,50401,350425
000955,欣龙控股,5.41,4.92,5.41,101554,169224
002566,益盛药业,9.94,9.04,9.94,41403,205172
300668,杰恩设计,19.66,17.88,19.64,19,46994
603963,大理药业,9.72,8.84,9.72,20916,158158
002292,奥飞娱乐,6.96,6.33,6.96,50861,879706
002316,亚联发展,5.2,4.73,5.2,57429,260306
600477,杭萧钢构,4.54,4.13,4.54,79936,1272020
600421,华嵘控股,10.53,9.58,10.53,1022,142447
600981,汇鸿集团,3.88,3.53,3.88,150685,1001828
000863,三湘印象,3.88,3.53,3.88,96409,517758
002118,紫鑫药业,3.77,3.43,3.77,247329,1608607
002195,二三四五,2.57,2.34,2.57,201841,5793914
000705,浙江震元,9.75,8.88,9.75,6025,682409
600566,济川药业,31.1,28.34,31.09,7,503595
300645,正元智慧,24.95,22.75,24.95,139,174155
688196,卓越新能,64.08,58.43,64.05,100,31079
601952,苏垦农发,13.06,11.91,13.05,15354,760304
300663,科蓝软件,23.23,21.21,23.22,291,600868
300795,*ST米奥,23.21,21.2,23.21,8,14439
300398,飞凯材料,26.45,24.16,26.45,422,705806
300603,立昂技术,11.63,10.63,11.63,1162,521986
300781,因赛集团,26.0,23.78,25.99,132,93697
603333,尚纬股份,11.39,10.44,11.38,98,148734
300199,翰宇药业,13.74,12.61,13.74,1462,1276130
002284,亚太股份,11.34,10.41,11.34,190,447756
603871,嘉友国际,22.64,20.8,22.63,28,29196
300076,GQY视讯,6.43,5.91,6.43,941,421798
605266,健之佳,83.29,76.57,83.01,3,37873
300075,数字政通,19.56,18.0,19.56,1387,938749
002558,巨人网络,13.0,11.97,12.99,583,1275139
600114,东睦股份,12.75,11.75,12.75,657,276341
300325,*ST德威,2.82,2.6,2.82,873,769463
002697,红旗连锁,5.77,5.32,5.77,792,721796
300303,聚飞光电,6.55,6.04,6.54,4265,1430296
000590,启迪药业,10.71,9.88,10.71,1122,182422
002977,天箭科技,86.78,80.06,86.78,23,31675
002644,佛慈制药,10.88,10.04,10.87,71,517211
600552,凯盛科技,12.7,11.72,12.7,654,532671
002714,牧原股份,57.8,53.36,57.79,547,847816
600728,佳都科技,9.02,8.33,9.02,2072,1428079
300572,安车检测,22.35,20.65,22.34,620,176986
300571,平治信息,63.36,58.56,63.36,44,81247
002100,天康生物,11.57,10.7,11.56,1591,503729
600757,长江传媒,5.78,5.35,5.77,251,450996
688201,信安世纪,67.6,62.65,67.6,49,21816
002354,天神娱乐,6.29,5.83,6.29,3380,3460932
688787,海天瑞声,99.7,92.43,99.7,63,14036
002014,永新股份,9.25,8.58,9.24,164,86010
